judul,deskripsi,kategori_gangguan,kategori_pelanggan,waktu_lapor,prioritas
Server down urgent,Error terus muncul,Gangguan Sistem,Perusahaan,2025-10-31 07:44:00,Tinggi
Koneksi tidak stabil,Upload file gagal,Request Layanan,Perusahaan,2025-11-20 07:44:00,Sedang
Loading lama,Internet agak lambat,Request Layanan,Rumah,2025-10-09 07:44:00,Sedang
Sering terputus,Upload file gagal,Gangguan Jaringan,Rumah,2025-10-09 07:44:00,Sedang
Loading lama,Upload file gagal,Pertanyaan Teknis,Perusahaan,2025-11-16 07:44:00,Sedang
Koneksi terputus,Sistem error sejak pagi,Gangguan Jaringan,Perusahaan,2025-11-24 07:44:00,Tinggi
Request akses,Request akses user baru,Request Layanan,Rumah,2025-11-11 07:44:00,Rendah
Server down urgent,Server down semua user tidak bisa akses,Gangguan Sistem,Perusahaan,2025-09-27 07:44:00,Tinggi
Pertanyaan setting,Mohon info upgrade paket,Gangguan Sistem,Perusahaan,2025-10-02 07:44:00,Rendah
Konsultasi,Request akses user baru,Gangguan Sistem,Perusahaan,2025-11-25 07:44:00,Rendah
Koneksi tidak stabil,Koneksi sering terputus,Pertanyaan Teknis,UMKM,2025-11-11 07:44:00,Sedang
Upload gagal,Upload file gagal,Pertanyaan Teknis,UMKM,2025-10-13 07:44:00,Sedang
Internet lambat,Koneksi sering terputus,Request Layanan,Perusahaan,2025-10-21 07:44:00,Sedang
Koneksi tidak stabil,Koneksi tidak stabil,Request Layanan,UMKM,2025-11-16 07:44:00,Sedang
Upload gagal,Koneksi tidak stabil,Gangguan Jaringan,Perusahaan,2025-11-12 07:44:00,Sedang
Koneksi terputus,Sistem error sejak pagi,Gangguan Sistem,Perusahaan,2025-09-30 07:44:00,Tinggi
Pertanyaan setting,Mohon info upgrade paket,Gangguan Bandwidth,UMKM,2025-09-29 07:44:00,Rendah
Upload gagal,Internet agak lambat,Gangguan Sistem,Rumah,2025-11-04 07:44:00,Sedang
Upload gagal,Internet agak lambat,Gangguan Sistem,Perusahaan,2025-10-14 07:44:00,Sedang
Koneksi terputus,Koneksi putus terus,Gangguan Sistem,UMKM,2025-10-08 07:44:00,Tinggi
Internet lambat,Koneksi tidak stabil,Request Layanan,Perusahaan,2025-10-13 07:44:00,Sedang
Request akses,Mohon info upgrade paket,Gangguan Bandwidth,Rumah,2025-10-12 07:44:00,Rendah
Cara ganti password,Request akses user baru,Gangguan Jaringan,Perusahaan,2025-10-02 07:44:00,Rendah
Info layanan,Mau tanya cara setting,Pertanyaan Teknis,Rumah,2025-11-17 07:44:00,Rendah
Request akses,Mau tanya cara setting,Gangguan Jaringan,Perusahaan,2025-10-18 07:44:00,Rendah
Sering terputus,Internet agak lambat,Gangguan Bandwidth,UMKM,2025-11-06 07:44:00,Sedang
Internet lambat,Koneksi tidak stabil,Gangguan Jaringan,Rumah,2025-10-18 07:44:00,Sedang
Cara ganti password,Request akses user baru,Pertanyaan Teknis,Perusahaan,2025-11-24 07:44:00,Rendah
Loading lama,Loading aplikasi lama,Gangguan Sistem,Perusahaan,2025-11-07 07:44:00,Sedang
Server down urgent,Sistem error sejak pagi,Gangguan Sistem,Rumah,2025-11-03 07:44:00,Tinggi
Server down urgent,Koneksi putus terus,Gangguan Jaringan,Perusahaan,2025-11-24 07:44:00,Tinggi
Sering terputus,Loading aplikasi lama,Gangguan Sistem,Perusahaan,2025-10-27 07:44:00,Sedang
Loading lama,Upload file gagal,Pertanyaan Teknis,UMKM,2025-11-18 07:44:00,Sedang
Info layanan,Mohon info upgrade paket,Request Layanan,Perusahaan,2025-10-08 07:44:00,Rendah
Loading lama,Loading aplikasi lama,Gangguan Bandwidth,Perusahaan,2025-11-05 07:44:00,Sedang
Sering terputus,Koneksi tidak stabil,Gangguan Sistem,UMKM,2025-10-23 07:44:00,Sedang
Koneksi terputus,Koneksi putus terus,Gangguan Jaringan,UMKM,2025-10-30 07:44:00,Tinggi
Koneksi tidak stabil,Koneksi tidak stabil,Gangguan Bandwidth,Rumah,2025-11-24 07:44:00,Sedang
Internet lambat,Koneksi tidak stabil,Pertanyaan Teknis,Rumah,2025-11-21 07:44:00,Sedang
Info layanan,Mau tanya cara setting,Gangguan Bandwidth,UMKM,2025-11-23 07:44:00,Rendah
Pertanyaan setting,Bisa bantu ganti password?,Request Layanan,Rumah,2025-11-20 07:44:00,Rendah
Upload gagal,Upload file gagal,Gangguan Bandwidth,Perusahaan,2025-11-10 07:44:00,Sedang
Cara ganti password,Mau tanya cara setting,Pertanyaan Teknis,Perusahaan,2025-10-14 07:44:00,Rendah
Internet lambat,Internet agak lambat,Gangguan Sistem,UMKM,2025-11-22 07:44:00,Sedang
Upload gagal,Upload file gagal,Gangguan Sistem,UMKM,2025-10-30 07:44:00,Sedang
Koneksi terputus,Error terus muncul,Gangguan Sistem,UMKM,2025-09-28 07:44:00,Tinggi
Internet lambat,Internet agak lambat,Request Layanan,UMKM,2025-10-28 07:44:00,Sedang
Pertanyaan setting,Mohon info upgrade paket,Request Layanan,UMKM,2025-10-10 07:44:00,Rendah
Loading lama,Upload file gagal,Request Layanan,Rumah,2025-11-07 07:44:00,Sedang
Koneksi terputus,Sudah 5 jam tidak bisa akses,Gangguan Sistem,Perusahaan,2025-10-01 07:44:00,Tinggi
Loading lama,Koneksi sering terputus,Gangguan Bandwidth,Rumah,2025-10-26 07:44:00,Sedang
Cara ganti password,Mohon info upgrade paket,Gangguan Jaringan,UMKM,2025-11-16 07:44:00,Rendah
Server down urgent,Koneksi putus terus,Gangguan Sistem,UMKM,2025-11-14 07:44:00,Tinggi
Sering terputus,Upload file gagal,Pertanyaan Teknis,Perusahaan,2025-10-14 07:44:00,Sedang
Request akses,Bisa bantu ganti password?,Request Layanan,Rumah,2025-10-27 07:44:00,Rendah
Koneksi tidak stabil,Koneksi tidak stabil,Pertanyaan Teknis,Perusahaan,2025-11-26 07:44:00,Sedang
Request akses,Bisa bantu ganti password?,Gangguan Sistem,UMKM,2025-11-22 07:44:00,Rendah
Koneksi tidak stabil,Internet agak lambat,Gangguan Sistem,UMKM,2025-10-18 07:44:00,Sedang
Cara ganti password,Mau konsultasi fitur,Request Layanan,Rumah,2025-10-30 07:44:00,Rendah
Internet lambat,Koneksi tidak stabil,Gangguan Bandwidth,Rumah,2025-10-05 07:44:00,Sedang
Server down urgent,Sistem error sejak pagi,Gangguan Jaringan,Perusahaan,2025-10-23 07:44:00,Tinggi
Internet mati total,Sistem error sejak pagi,Gangguan Sistem,Rumah,2025-10-29 07:44:00,Tinggi
Internet mati total,Sudah 4 jam tidak bisa akses,Gangguan Sistem,Perusahaan,2025-11-09 07:44:00,Tinggi
Upload gagal,Internet agak lambat,Pertanyaan Teknis,Rumah,2025-11-25 07:44:00,Sedang
Internet mati total,Koneksi putus terus,Gangguan Jaringan,Perusahaan,2025-10-11 07:44:00,Tinggi
Koneksi tidak stabil,Loading aplikasi lama,Gangguan Bandwidth,UMKM,2025-11-12 07:44:00,Sedang
Internet mati total,Koneksi putus terus,Gangguan Sistem,UMKM,2025-11-26 07:44:00,Tinggi
Konsultasi,Mau konsultasi fitur,Gangguan Jaringan,Perusahaan,2025-11-23 07:44:00,Rendah
Request akses,Request akses user baru,Gangguan Jaringan,Rumah,2025-10-02 07:44:00,Rendah
Pertanyaan setting,Request akses user baru,Gangguan Jaringan,UMKM,2025-10-31 07:44:00,Rendah
Upload gagal,Internet agak lambat,Gangguan Bandwidth,UMKM,2025-11-21 07:44:00,Sedang
Loading lama,Koneksi sering terputus,Gangguan Sistem,UMKM,2025-11-25 07:44:00,Sedang
Konsultasi,Bisa bantu ganti password?,Gangguan Bandwidth,Perusahaan,2025-11-04 07:44:00,Rendah
Koneksi terputus,Koneksi putus terus,Gangguan Jaringan,Perusahaan,2025-10-26 07:44:00,Tinggi
Loading lama,Loading aplikasi lama,Gangguan Sistem,Rumah,2025-11-15 07:44:00,Sedang
Loading lama,Internet agak lambat,Request Layanan,UMKM,2025-11-10 07:44:00,Sedang
Upload gagal,Loading aplikasi lama,Request Layanan,Rumah,2025-10-01 07:44:00,Sedang
Server down urgent,Error terus muncul,Gangguan Sistem,Perusahaan,2025-11-06 07:44:00,Tinggi
Koneksi tidak stabil,Loading aplikasi lama,Gangguan Bandwidth,UMKM,2025-10-11 07:44:00,Sedang
Internet mati total,Koneksi putus terus,Gangguan Jaringan,UMKM,2025-10-07 07:44:00,Tinggi
Konsultasi,Mau konsultasi fitur,Request Layanan,UMKM,2025-11-09 07:44:00,Rendah
Upload gagal,Internet agak lambat,Request Layanan,UMKM,2025-09-30 07:44:00,Sedang
Loading lama,Loading aplikasi lama,Gangguan Sistem,Perusahaan,2025-10-10 07:44:00,Sedang
Internet mati total,Sudah 7 jam tidak bisa akses,Gangguan Sistem,Perusahaan,2025-11-09 07:44:00,Tinggi
Upload gagal,Internet agak lambat,Gangguan Bandwidth,Perusahaan,2025-11-15 07:44:00,Sedang
Loading lama,Internet agak lambat,Request Layanan,UMKM,2025-10-22 07:44:00,Sedang
Internet lambat,Koneksi tidak stabil,Gangguan Sistem,Rumah,2025-10-05 07:44:00,Sedang
Loading lama,Upload file gagal,Pertanyaan Teknis,Perusahaan,2025-10-07 07:44:00,Sedang
Loading lama,Loading aplikasi lama,Gangguan Jaringan,UMKM,2025-11-03 07:44:00,Sedang
Sistem error darurat,Koneksi putus terus,Gangguan Sistem,Rumah,2025-10-08 07:44:00,Tinggi
Database tidak bisa diakses,Error terus muncul,Gangguan Sistem,Rumah,2025-11-12 07:44:00,Tinggi
Sering terputus,Internet agak lambat,Gangguan Jaringan,Rumah,2025-10-05 07:44:00,Sedang
Sistem error darurat,Koneksi putus terus,Gangguan Sistem,Rumah,2025-11-08 07:44:00,Tinggi
Upload gagal,Koneksi sering terputus,Gangguan Bandwidth,Rumah,2025-11-02 07:44:00,Sedang
Sistem error darurat,Sistem error sejak pagi,Gangguan Jaringan,Perusahaan,2025-11-20 07:44:00,Tinggi
Request akses,Request akses user baru,Request Layanan,Perusahaan,2025-10-24 07:44:00,Rendah
Cara ganti password,Request akses user baru,Gangguan Sistem,Rumah,2025-10-11 07:44:00,Rendah
Sistem error darurat,Koneksi putus terus,Gangguan Sistem,Rumah,2025-09-30 07:44:00,Tinggi
Internet lambat,Koneksi sering terputus,Gangguan Sistem,UMKM,2025-10-07 07:44:00,Sedang
Koneksi terputus,Koneksi putus terus,Gangguan Sistem,Perusahaan,2025-10-19 07:44:00,Tinggi
Sering terputus,Upload file gagal,Gangguan Bandwidth,Perusahaan,2025-10-16 07:44:00,Sedang
Database tidak bisa diakses,Koneksi putus terus,Gangguan Sistem,Perusahaan,2025-10-27 07:44:00,Tinggi
Database tidak bisa diakses,Error terus muncul,Gangguan Sistem,Perusahaan,2025-10-30 07:44:00,Tinggi
Server down urgent,Sistem error sejak pagi,Gangguan Sistem,Rumah,2025-10-26 07:44:00,Tinggi
Internet lambat,Upload file gagal,Gangguan Sistem,Perusahaan,2025-11-23 07:44:00,Sedang
Loading lama,Koneksi sering terputus,Gangguan Jaringan,UMKM,2025-10-17 07:44:00,Sedang
Info layanan,Mau konsultasi fitur,Request Layanan,Perusahaan,2025-10-06 07:44:00,Rendah
Sistem error darurat,Sudah 7 jam tidak bisa akses,Gangguan Jaringan,Perusahaan,2025-10-10 07:44:00,Tinggi
Server down urgent,Error terus muncul,Gangguan Sistem,Perusahaan,2025-10-25 07:44:00,Tinggi
Upload gagal,Koneksi sering terputus,Gangguan Bandwidth,Perusahaan,2025-09-30 07:44:00,Sedang
Internet lambat,Upload file gagal,Gangguan Sistem,Rumah,2025-10-05 07:44:00,Sedang
Database tidak bisa diakses,Sistem error sejak pagi,Gangguan Sistem,UMKM,2025-10-23 07:44:00,Tinggi
Database tidak bisa diakses,Sudah 10 jam tidak bisa akses,Gangguan Sistem,Rumah,2025-09-27 07:44:00,Tinggi
Pertanyaan setting,Bisa bantu ganti password?,Request Layanan,Perusahaan,2025-11-06 07:44:00,Rendah
Internet mati total,Error terus muncul,Gangguan Sistem,Perusahaan,2025-10-27 07:44:00,Tinggi
Upload gagal,Koneksi tidak stabil,Gangguan Sistem,UMKM,2025-11-13 07:44:00,Sedang
Request akses,Mau tanya cara setting,Request Layanan,Perusahaan,2025-11-01 07:44:00,Rendah
Koneksi tidak stabil,Internet agak lambat,Request Layanan,UMKM,2025-11-24 07:44:00,Sedang
Loading lama,Koneksi tidak stabil,Gangguan Sistem,Rumah,2025-10-29 07:44:00,Sedang
Database tidak bisa diakses,Sistem error sejak pagi,Gangguan Jaringan,Perusahaan,2025-11-03 07:44:00,Tinggi
Cara ganti password,Bisa bantu ganti password?,Gangguan Jaringan,Perusahaan,2025-10-20 07:44:00,Rendah
Koneksi tidak stabil,Loading aplikasi lama,Pertanyaan Teknis,Rumah,2025-10-26 07:44:00,Sedang
Internet lambat,Koneksi tidak stabil,Gangguan Jaringan,Rumah,2025-10-09 07:44:00,Sedang
Konsultasi,Mau tanya cara setting,Pertanyaan Teknis,UMKM,2025-10-19 07:44:00,Rendah
Sering terputus,Upload file gagal,Gangguan Bandwidth,UMKM,2025-10-29 07:44:00,Sedang
Internet lambat,Upload file gagal,Request Layanan,Rumah,2025-10-15 07:44:00,Sedang
Database tidak bisa diakses,Server down semua user tidak bisa akses,Gangguan Jaringan,Rumah,2025-10-05 07:44:00,Tinggi
Sering terputus,Koneksi sering terputus,Gangguan Jaringan,Perusahaan,2025-10-14 07:44:00,Sedang
Konsultasi,Mau tanya cara setting,Pertanyaan Teknis,Rumah,2025-11-22 07:44:00,Rendah
Cara ganti password,Request akses user baru,Pertanyaan Teknis,Rumah,2025-11-04 07:44:00,Rendah
Konsultasi,Mohon info upgrade paket,Gangguan Bandwidth,Rumah,2025-10-07 07:44:00,Rendah
Koneksi tidak stabil,Koneksi sering terputus,Gangguan Sistem,Perusahaan,2025-11-05 07:44:00,Sedang
Upload gagal,Koneksi tidak stabil,Gangguan Jaringan,Rumah,2025-11-08 07:44:00,Sedang
Sering terputus,Koneksi tidak stabil,Pertanyaan Teknis,Perusahaan,2025-09-27 07:44:00,Sedang
Info layanan,Mau tanya cara setting,Pertanyaan Teknis,UMKM,2025-11-06 07:44:00,Rendah
Loading lama,Internet agak lambat,Gangguan Sistem,Rumah,2025-10-02 07:44:00,Sedang
Internet mati total,Koneksi putus terus,Gangguan Jaringan,Perusahaan,2025-10-18 07:44:00,Tinggi
Koneksi tidak stabil,Upload file gagal,Request Layanan,Perusahaan,2025-11-07 07:44:00,Sedang
Sering terputus,Internet agak lambat,Gangguan Jaringan,Perusahaan,2025-10-03 07:44:00,Sedang
Internet lambat,Koneksi tidak stabil,Gangguan Sistem,Perusahaan,2025-09-27 07:44:00,Sedang
Request akses,Mohon info upgrade paket,Request Layanan,UMKM,2025-11-15 07:44:00,Rendah
Koneksi tidak stabil,Loading aplikasi lama,Gangguan Bandwidth,Rumah,2025-10-25 07:44:00,Sedang
Info layanan,Mohon info upgrade paket,Gangguan Sistem,Rumah,2025-10-03 07:44:00,Rendah
Koneksi terputus,Sistem error sejak pagi,Gangguan Sistem,Rumah,2025-10-05 07:44:00,Tinggi
Server down urgent,Error terus muncul,Gangguan Jaringan,Perusahaan,2025-11-03 07:44:00,Tinggi
Internet mati total,Sistem error sejak pagi,Gangguan Sistem,Perusahaan,2025-11-11 07:44:00,Tinggi
Internet mati total,Error terus muncul,Gangguan Jaringan,Rumah,2025-10-22 07:44:00,Tinggi
Database tidak bisa diakses,Error terus muncul,Gangguan Jaringan,UMKM,2025-11-02 07:44:00,Tinggi
Cara ganti password,Mau konsultasi fitur,Pertanyaan Teknis,UMKM,2025-10-25 07:44:00,Rendah
Database tidak bisa diakses,Sistem error sejak pagi,Gangguan Jaringan,Perusahaan,2025-11-17 07:44:00,Tinggi
Request akses,Mau konsultasi fitur,Gangguan Sistem,Perusahaan,2025-11-18 07:44:00,Rendah
Sering terputus,Internet agak lambat,Gangguan Bandwidth,Perusahaan,2025-10-19 07:44:00,Sedang
Sering terputus,Upload file gagal,Gangguan Jaringan,UMKM,2025-11-15 07:44:00,Sedang
Cara ganti password,Mohon info upgrade paket,Gangguan Bandwidth,Perusahaan,2025-10-11 07:44:00,Rendah
Koneksi terputus,Koneksi putus terus,Gangguan Jaringan,Rumah,2025-11-04 07:44:00,Tinggi
Koneksi terputus,Error terus muncul,Gangguan Jaringan,Perusahaan,2025-11-26 07:44:00,Tinggi
Cara ganti password,Mohon info upgrade paket,Pertanyaan Teknis,UMKM,2025-11-01 07:44:00,Rendah
Koneksi tidak stabil,Loading aplikasi lama,Pertanyaan Teknis,Rumah,2025-10-26 07:44:00,Sedang
Koneksi terputus,Sistem error sejak pagi,Gangguan Jaringan,Perusahaan,2025-10-24 07:44:00,Tinggi
Database tidak bisa diakses,Sudah 9 jam tidak bisa akses,Gangguan Sistem,Perusahaan,2025-11-13 07:44:00,Tinggi
Sistem error darurat,Sudah 6 jam tidak bisa akses,Gangguan Jaringan,Perusahaan,2025-11-17 07:44:00,Tinggi
Database tidak bisa diakses,Error terus muncul,Gangguan Sistem,Perusahaan,2025-10-29 07:44:00,Tinggi
Internet lambat,Loading aplikasi lama,Gangguan Bandwidth,Rumah,2025-11-01 07:44:00,Sedang
Internet lambat,Upload file gagal,Pertanyaan Teknis,UMKM,2025-10-08 07:44:00,Sedang
Cara ganti password,Mau konsultasi fitur,Request Layanan,UMKM,2025-10-06 07:44:00,Rendah
Database tidak bisa diakses,Sistem error sejak pagi,Gangguan Jaringan,Rumah,2025-10-11 07:44:00,Tinggi
Pertanyaan setting,Mohon info upgrade paket,Gangguan Jaringan,Rumah,2025-11-02 07:44:00,Rendah
Pertanyaan setting,Request akses user baru,Gangguan Sistem,Perusahaan,2025-11-13 07:44:00,Rendah
Sering terputus,Upload file gagal,Pertanyaan Teknis,UMKM,2025-11-12 07:44:00,Sedang
Internet mati total,Server down semua user tidak bisa akses,Gangguan Jaringan,Perusahaan,2025-10-30 07:44:00,Tinggi
Internet mati total,Koneksi putus terus,Gangguan Sistem,Perusahaan,2025-10-26 07:44:00,Tinggi
Pertanyaan setting,Mau tanya cara setting,Request Layanan,UMKM,2025-11-16 07:44:00,Rendah
Koneksi terputus,Sistem error sejak pagi,Gangguan Sistem,Perusahaan,2025-11-25 07:44:00,Tinggi
Sering terputus,Internet agak lambat,Request Layanan,UMKM,2025-11-26 07:44:00,Sedang
Sistem error darurat,Server down semua user tidak bisa akses,Gangguan Sistem,Perusahaan,2025-10-02 07:44:00,Tinggi
Upload gagal,Koneksi sering terputus,Gangguan Jaringan,UMKM,2025-09-28 07:44:00,Sedang
Koneksi terputus,Error terus muncul,Gangguan Sistem,Perusahaan,2025-11-24 07:44:00,Tinggi
Database tidak bisa diakses,Server down semua user tidak bisa akses,Gangguan Jaringan,UMKM,2025-11-13 07:44:00,Tinggi
Loading lama,Upload file gagal,Request Layanan,Perusahaan,2025-10-18 07:44:00,Sedang
Konsultasi,Mohon info upgrade paket,Gangguan Jaringan,UMKM,2025-11-06 07:44:00,Rendah
Koneksi tidak stabil,Internet agak lambat,Gangguan Bandwidth,Rumah,2025-10-18 07:44:00,Sedang
Loading lama,Loading aplikasi lama,Gangguan Sistem,Perusahaan,2025-10-14 07:44:00,Sedang
Request akses,Request akses user baru,Gangguan Bandwidth,Perusahaan,2025-10-16 07:44:00,Rendah
Pertanyaan setting,Mau konsultasi fitur,Gangguan Bandwidth,UMKM,2025-10-18 07:44:00,Rendah
Sering terputus,Upload file gagal,Gangguan Sistem,UMKM,2025-10-08 07:44:00,Sedang
Internet lambat,Internet agak lambat,Pertanyaan Teknis,Rumah,2025-11-05 07:44:00,Sedang
Internet mati total,Server down semua user tidak bisa akses,Gangguan Jaringan,Perusahaan,2025-10-02 07:44:00,Tinggi
Pertanyaan setting,Mau konsultasi fitur,Request Layanan,Perusahaan,2025-10-03 07:44:00,Rendah
Loading lama,Loading aplikasi lama,Gangguan Jaringan,Perusahaan,2025-10-04 07:44:00,Sedang
Sering terputus,Koneksi tidak stabil,Request Layanan,Rumah,2025-10-05 07:44:00,Sedang
Sering terputus,Internet agak lambat,Gangguan Jaringan,Rumah,2025-10-03 07:44:00,Sedang
Server down urgent,Sudah 5 jam tidak bisa akses,Gangguan Sistem,Perusahaan,2025-11-20 07:44:00,Tinggi
Internet mati total,Sistem error sejak pagi,Gangguan Jaringan,Perusahaan,2025-11-12 07:44:00,Tinggi
Info layanan,Mohon info upgrade paket,Pertanyaan Teknis,Perusahaan,2025-10-27 07:44:00,Rendah
Koneksi tidak stabil,Internet agak lambat,Gangguan Jaringan,UMKM,2025-10-12 07:44:00,Sedang
Koneksi terputus,Sudah 2 jam tidak bisa akses,Gangguan Jaringan,Rumah,2025-11-08 07:44:00,Tinggi
Koneksi tidak stabil,Loading aplikasi lama,Request Layanan,Rumah,2025-11-22 07:44:00,Sedang
Info layanan,Mau konsultasi fitur,Gangguan Bandwidth,UMKM,2025-10-10 07:44:00,Rendah
Internet mati total,Koneksi putus terus,Gangguan Sistem,Perusahaan,2025-10-13 07:44:00,Tinggi
